"","Cell_line","Emb_0h","Emb_12h","Emb_24h","Emb_48h"
"RPRC000038",0,246.887351919468,2.72545407078166,36.0458689353875,6.10096312348841
"RPRC000077",0,21.1323504020433,2.94703223600635,13.6603995216176,20.8150506566075
"RPRC000290",0,4.58319989003113,1.66391472630947,3.00648933710606,1.10038102321493
"RPRC000337",0,1.11467342780009,3.98989420555234,13.1040751976332,8.45477621884745
"RPRC000452",0,2.57557117787141,23.5163055475853,39.9585727776345,37.9891569816412
"RPRC000547",0,3.60941871859075,23.78352169366,18.4012086508342,5.41616114023971
"RPRC000796",0,48.1371178691861,30.5295332455452,20.6848687311572,7.48324166861663
"RPRC002593",0,5640.26920984682,32.4646787101266,39.720034371895,77.0513400307911
"RPRC002614",0,227.556674706142,16.6360438100218,29.1789445393758,33.4181245505169
"RPRC002637",0,2.18744104586185,10.1162548870603,17.2973774063731,25.1562220778429
"RPRC002646",0,164.524993124933,1.18384228975116,24.413155881522,4.51672643825044
"RPRC002647",0,60.2801346624487,22.722314688956,303.452760346419,66.1837832562047
"RPRC002710",0,1.56607010517367,5.14227574810748,5.32266365933222,1.87998981727329
"RPRC002887",0,15.7990671262357,1.28736378378786,1.51029485904629,3.93851160267605
"RPRC002891",0,42.2077402908735,5.54570885259149,4.91073320765049,8.20707711603382
"RPRC002925",0,21.2299369059111,2.81599253901016,1.84986896545723,3.29844213440598
"RPRC002983",0,2.72262187824734,9.60432618028113,15.9088698796586,47.9361388274089
"RPRC003018",0,1.2881044898294,1.71468674665909,2.46960213708036,1.94719992655144
"RPRC003019",0,2.66743359693151,3.13891517029178,2.00844792966486,4.18410646644644
"RPRC003107",0,24.9172939948169,38.9840093876797,47.1691821403596,28.9887715574193
"RPRC003240",0,31.4951257093615,3.94219024875117,8.4208468850044,3.34835791094467
"RPRC003523",0,84.5651283206027,2.79643080382744,8.65859169677917,4.41747984401904
"RPRC003528",0,25.6607112024811,3.24070502875523,7.56887321642221,5.70452157131728
"RPRC003640",0,9.16908787383941,2.0655664001938,3.04257434506302,2.30489239590846
"RPRC003872",0,90.4656604850871,1.61792664582721,17.8740154673527,12.2139960407446
"RPRC003892",0,115.233131387441,156.349222599873,185.111950850778,27.8371164910518
"RPRC004110",0,1.88335495064082,5.86267887175755,5.68138940348623,8.00001783099626
"RPRC004459",0,1.34871517954459,49.6120552098599,45.3103946931985,18.3044401999323
"RPRC004704",0,1.37314842555083,36.594452461018,21.3244775836591,22.033571479207
"RPRC004785",0,1.72267711569104,20.5621539711487,18.9159277739345,27.1136309202303
"RPRC004888",0,24.2879984204663,84.7874072991821,59.349466402144,20.1593916552323
"RPRC005092",0,195.979344346682,1.30849870465512,13.0635935943908,25.1297390080286
"RPRC005338",0,118.458345868211,69.0258043746379,121.589184595323,144.591191840124
"RPRC005353",0,708.30581233023,65.5825272089501,127.755699099374,306.36264741565
"RPRC005717",0,1779.13390147893,1.02504202609467,1.90376733969116,2.07651407673501
"RPRC006061",0,501.310016171262,193.656322182396,278.262504753295,229.940495645997
"RPRC006472",0,2.27558876636044,126.014583646175,93.9453711729483,25.8272836905754
"RPRC006810",0,1.11686335594901,22.4497074747264,16.8626762817736,13.3887716202487
"RPRC006866",0,18.6623354199863,80.1337970746749,67.3692268932786,43.1788402013554
"RPRC006927",0,641.642710496315,1.70295002537394,2.8219964581367,1.91965204970521
"RPRC006948",0,33.8145820518677,1.94491415719183,2.69122637304392,8.01667776248097
"RPRC007005",0,1.08904875129893,621.07170571589,524.363943833639,88.5608059750817
"RPRC007020",0,4.47624762344916,2.05242352959685,39.3993171294361,47.1675135520088
"RPRC007197",0,3.33889497758706,1.14526220890217,1.76218363753707,2.03380139982685
"RPRC007413",0,7.39442570470921,8.43893916872922,6.76623326981268,3.70846413140242
"RPRC007734",0,9.52233581537762,38.1067827501872,50.5997673134411,9.81168889978098
"RPRC007836",0,879.549169044059,96.8182523996226,205.393760156516,108.299903222107
"RPRC008111",0,1.63006006646034,3.49894429608586,4.07520563793289,3.75054599388642
"RPRC008335",0,18.7990558259935,95.1208737070326,173.042135197268,88.7648631317063
"RPRC008682",0,3.47093854498145,17.2328847555323,10.1535991374938,8.44599385730449
"RPRC008686",0,1.78967011463458,4.34429647097999,2.64222483191466,5.98184908155363
"RPRC009145",0,4.1019032811522,18.2563094102597,7.42334613606258,4.27834446351085
"RPRC009169",0,424.646150601594,220.082181079495,523.31668082262,329.728825659784
"RPRC009204",0,109.047056494646,19.3422404166715,51.1609957471254,93.3879912951158
"RPRC009487",0,1.06457574565177,18.753378386869,16.2819683286876,10.0107697479711
"RPRC009516",0,36.3717650528517,1.19340320759051,2.57661871469319,4.07879406672621
"RPRC009811",0,5.55414863162456,3.01539599320524,1.87916852269793,3.39910802594354
"RPRC009895",0,12.9267554107669,1.58389203668138,22.0633454351013,20.2203349235616
"RPRC010048",0,17.3480864467478,230.310874019219,184.510494109936,78.4008396039628
"RPRC010473",0,306.086105394493,2.79629900240387,1.88784828492748,1.00693065078359
"RPRC010483",0,1.15264283896603,128.579718955071,84.166673762975,60.3289189781445
"RPRC010668",0,6.19263015444492,124.091352706804,80.3029115581907,71.2006891507765
"RPRC010801",0,5.19954373333577,43.6022441870207,98.0080134679565,143.425671391501
"RPRC010866",0,2.61207933582226,21.9058752441606,33.7107162530465,13.8254639632435
"RPRC010925",0,5.62152411312774,29.6712801188012,49.399026325363,72.8561030799986
"RPRC010930",0,5.13408697040926,65.1437369273839,72.1161426567841,43.2825980776052
"RPRC010965",0,1.75025692173043,15.8846753213491,17.7239758390827,11.3770511307909
"RPRC010990",0,1.26329655150676,1.10072497094625,1.80151693085091,2.06798879900062
"RPRC011002",0,1.01063724120541,4.91045639816577,21.4020211385088,14.1542344464931
"RPRC011243",0,7.55231634052957,68.9116312577611,66.7736166761042,27.4732811461434
"RPRC011572",0,11.1467342780009,2.72033744862125,6.55699177037646,5.38961133072873
"RPRC011978",0,3.58386531173347,9.54306632720269,12.6829297201972,15.733229152953
"RPRC012419",0,1652.51032342255,222.800747979105,437.564817593967,307.693468417303
"RPRC012472",0,5.02951788656089,1.00427190460065,1.74034129736768,6.15607386431617
"RPRC012551",0,6.7601153257887,4.34476516193597,3.47951848684414,4.92405731311648
"RPRC013053",0,2.02204478518613,2.61478111746632,4.07812902791706,11.3277028725745
"RPRC013097",0,1.99827000817042,47.3421913810349,37.9590459793295,16.0994275457177
"RPRC013427",0,1.92055218979069,7.10161803233434,7.44799440584052,1.96396834139323
